file,url,folder,title,words,unique_shingles,unique_share,inbound
knowledge-center/angle-valve.html,https://pishtaj.ir/knowledge-center/angle-valve.html,knowledge-center,راهنمای شیر زاویه‌ای (Angle Valve) | پیشرو تجهیز فرتاک,1740,121,0.087,16
knowledge-center/article-002.html,https://pishtaj.ir/knowledge-center/article-002.html,knowledge-center,مقایسه لوله کربن استیل و استینلس استیل | پیشرو تجهیز فرتاک,1739,121,0.087,24
knowledge-center/cryogenic-valve-lng.html,https://pishtaj.ir/knowledge-center/cryogenic-valve-lng.html,knowledge-center,شیر برودتی (Cryogenic Valve) | پیشرو تجهیز فرتاک,1737,121,0.087,2
knowledge-center/scada.html,https://pishtaj.ir/knowledge-center/scada.html,knowledge-center,سیستم SCADA در صنعت نفت و گاز | پیشرو تجهیز فرتاک,1751,121,0.086,1
knowledge-center/astm-a312.html,https://pishtaj.ir/knowledge-center/astm-a312.html,knowledge-center,راهنمای لوله ASTM A312 | پیشرو تجهیز فرتاک,1737,122,0.087,9
knowledge-center/astm-jis.html,https://pishtaj.ir/knowledge-center/astm-jis.html,knowledge-center,مقایسه استاندارد ASTM و JIS در پایپینگ | پیشرو تجهیز فرتاک,1743,122,0.087,4
knowledge-center/plc-allen-bradley-controllogix.html,https://pishtaj.ir/knowledge-center/plc-allen-bradley-controllogix.html,knowledge-center,کنترلر PLC Allen Bradley ControlLogix | پیشرو تجهیز فرتاک,1731,122,0.088,1
knowledge-center/shell-seat-closure.html,https://pishtaj.ir/knowledge-center/shell-seat-closure.html,knowledge-center,تست شیرآلات | پیشرو تجهیز فرتاک,1745,123,0.088,2
knowledge-center/en-10204-certificate-guide.html,https://pishtaj.ir/knowledge-center/en-10204-certificate-guide.html,knowledge-center,راهنمای کامل EN 10204؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1608,124,0.097,5
knowledge-center/pneumatic-actuator-rack-pinion.html,https://pishtaj.ir/knowledge-center/pneumatic-actuator-rack-pinion.html,knowledge-center,محرک پنوماتیک (Pneumatic Actuator) | پیشرو تجهیز فرتاک,1748,124,0.089,3
knowledge-center/stainless-steel.html,https://pishtaj.ir/knowledge-center/stainless-steel.html,knowledge-center,شیر Stainless Steel | پیشرو تجهیز فرتاک,1752,125,0.089,6
knowledge-center/astm-a213.html,https://pishtaj.ir/knowledge-center/astm-a213.html,knowledge-center,لوله ASTM A213 | پیشرو تجهیز فرتاک,1738,126,0.09,10
knowledge-center/dcs-distributed-control-system.html,https://pishtaj.ir/knowledge-center/dcs-distributed-control-system.html,knowledge-center,راهنمای سیستم DCS (Distributed Control System),1744,126,0.09,2
knowledge-center/plug-valve-lubricated-non-lubricated.html,https://pishtaj.ir/knowledge-center/plug-valve-lubricated-non-lubricated.html,knowledge-center,راهنمای Plug Valve | پیشرو تجهیز فرتاک,1740,126,0.09,3
knowledge-center/astm-a209.html,https://pishtaj.ir/knowledge-center/astm-a209.html,knowledge-center,راهنمای لوله ASTM A209 | پیشرو تجهیز فرتاک,1738,127,0.091,10
knowledge-center/gearbox-handwheel-worm-gear.html,https://pishtaj.ir/knowledge-center/gearbox-handwheel-worm-gear.html,knowledge-center,راهنمای Gearbox شیرآلات | پیشرو تجهیز فرتاک,1746,127,0.091,2
knowledge-center/thermal-mass-flowmeter.html,https://pishtaj.ir/knowledge-center/thermal-mass-flowmeter.html,knowledge-center,فلومتر حرارتی (Thermal Mass Flowmeter) | پیشرو تجهیز فرتاک,1752,127,0.091,4
knowledge-center/ansi-ieee-c37.html,https://pishtaj.ir/knowledge-center/ansi-ieee-c37.html,knowledge-center,رله حفاظتی | پیشرو تجهیز فرتاک,1728,128,0.092,2
knowledge-center/rosemount-644.html,https://pishtaj.ir/knowledge-center/rosemount-644.html,knowledge-center,ترانسمیتر دما Rosemount 644 | پیشرو تجهیز فرتاک,1757,128,0.091,2
knowledge-center/nozzle-check-valve.html,https://pishtaj.ir/knowledge-center/nozzle-check-valve.html,knowledge-center,شیر Nozzle Check Valve | پیشرو تجهیز فرتاک,1752,129,0.092,7
knowledge-center/api-5l-x52.html,https://pishtaj.ir/knowledge-center/api-5l-x52.html,knowledge-center,API 5L X52 مشخصات کامل خطوط انتقال | پیشرو تجهیز فرتاک,1662,130,0.097,5
knowledge-center/check-valve-swing-lift-dual-plate.html,https://pishtaj.ir/knowledge-center/check-valve-swing-lift-dual-plate.html,knowledge-center,مقایسه شیر Check Valve | پیشرو تجهیز فرتاک,1753,130,0.093,5
knowledge-center/class-i-class-vi.html,https://pishtaj.ir/knowledge-center/class-i-class-vi.html,knowledge-center,مقایسه نرخ نشتی شیرآلات | پیشرو تجهیز فرتاک,1754,131,0.093,2
knowledge-center/phase-control-relay.html,https://pishtaj.ir/knowledge-center/phase-control-relay.html,knowledge-center,رله کنترل فاز (Phase Control Relay) | پیشرو تجهیز فرتاک,1760,131,0.094,1
knowledge-center/api-600.html,https://pishtaj.ir/knowledge-center/api-600.html,knowledge-center,راهنمای شیر دروازه‌ای API 600 | پیشرو تجهیز فرتاک,1741,133,0.094,3
knowledge-center/yokogawa-eja.html,https://pishtaj.ir/knowledge-center/yokogawa-eja.html,knowledge-center,ترانسمیتر فشار Yokogawa EJA | پیشرو تجهیز فرتاک,1758,136,0.096,1
knowledge-center/psv-prv-api-520-api-526.html,https://pishtaj.ir/knowledge-center/psv-prv-api-520-api-526.html,knowledge-center,شیر اطمینان PSV/PRV | پیشرو تجهیز فرتاک,1752,137,0.097,4
knowledge-center/rosemount-3051.html,https://pishtaj.ir/knowledge-center/rosemount-3051.html,knowledge-center,ترانسمیتر فشار Rosemount 3051؛ مشخصات فنی و نصب | پیشرو تجهیز فرتاک,1768,137,0.097,4
knowledge-center/api-5l-psl2-psl1.html,https://pishtaj.ir/knowledge-center/api-5l-psl2-psl1.html,knowledge-center,لوله API 5L PSL2 | پیشرو تجهیز فرتاک,1765,138,0.098,5
knowledge-center/soft-starter.html,https://pishtaj.ir/knowledge-center/soft-starter.html,knowledge-center,سافت استارتر (Soft Starter) | پیشرو تجهیز فرتاک,1769,138,0.098,1
knowledge-center/api-5l-x70.html,https://pishtaj.ir/knowledge-center/api-5l-x70.html,knowledge-center,لوله API 5L X70 | پیشرو تجهیز فرتاک,1742,139,0.099,3
knowledge-center/high-temperature.html,https://pishtaj.ir/knowledge-center/high-temperature.html,knowledge-center,انتخاب شیر برای دمای بالا (High Temperature) | پیشرو تجهیز فرتاک,1755,139,0.099,2
knowledge-center/vcb.html,https://pishtaj.ir/knowledge-center/vcb.html,knowledge-center,کلید وکیوم (VCB) | پیشرو تجهیز فرتاک,1774,142,0.101,3
knowledge-center/vfd.html,https://pishtaj.ir/knowledge-center/vfd.html,knowledge-center,درایو فرکانس متغیر VFD | پیشرو تجهیز فرتاک,1767,145,0.102,3
knowledge-center/nace-mr0175.html,https://pishtaj.ir/knowledge-center/nace-mr0175.html,knowledge-center,استاندارد NACE MR0175 در لوله و فلنج | پیشرو تجهیز فرتاک,1772,146,0.103,3
knowledge-center/butterfly-valve-api-609-concentric-offset.html,https://pishtaj.ir/knowledge-center/butterfly-valve-api-609-concentric-offset.html,knowledge-center,Butterfly Valve API 609 | پیشرو تجهیز فرتاک,1769,151,0.106,2
knowledge-center/astm-a106-a53.html,https://pishtaj.ir/knowledge-center/astm-a106-a53.html,knowledge-center,مقایسه ASTM A106 و A53 | پیشرو تجهیز فرتاک,1769,153,0.107,3
knowledge-center/globe-gate-valve.html,https://pishtaj.ir/knowledge-center/globe-gate-valve.html,knowledge-center,مقایسه Globe و Gate Valve | پیشرو تجهیز فرتاک,1780,153,0.108,6
knowledge-center/ball-valve-api-6d.html,https://pishtaj.ir/knowledge-center/ball-valve-api-6d.html,knowledge-center,Ball Valve API 6D | پیشرو تجهیز فرتاک,1777,155,0.109,3
knowledge-center/knife-gate-valve.html,https://pishtaj.ir/knowledge-center/knife-gate-valve.html,knowledge-center,Knife Gate Valve | پیشرو تجهیز فرتاک,1769,156,0.11,1
knowledge-center/vortex-flowmeter.html,https://pishtaj.ir/knowledge-center/vortex-flowmeter.html,knowledge-center,فلومتر ورتکس (Vortex Flowmeter) | پیشرو تجهیز فرتاک,1802,166,0.115,2
about/certificates/index.html,https://pishtaj.ir/about/certificates/index.html,about,گواهینامه‌های ISO و مدیریت کیفیت | پیشرو تجهیز فرتاک,307,167,0.557,4
knowledge-center/temperature-transmitter-guide.html,https://pishtaj.ir/knowledge-center/temperature-transmitter-guide.html,knowledge-center,راهنمای ترانسمیتر دما | پیشرو تجهیز فرتاک,1652,170,0.129,5
knowledge-center/electric-actuator.html,https://pishtaj.ir/knowledge-center/electric-actuator.html,knowledge-center,محرک الکتریکی (Electric Actuator) شیرآلات | پیشرو تجهیز فرتاک,1796,173,0.12,2
knowledge-center/a106-gr-b.html,https://pishtaj.ir/knowledge-center/a106-gr-b.html,knowledge-center,راهنمای کامل لوله A106 Gr.B؛ مشخصات و قیمت | پیشرو تجهیز فرتاک,1810,175,0.121,7
knowledge-center/ndt-inspection-industrial-guide.html,https://pishtaj.ir/knowledge-center/ndt-inspection-industrial-guide.html,knowledge-center,راهنمای تست‌های NDT در بازرسی صنعتی | پیشرو تجهیز فرتاک,1662,175,0.132,5
knowledge-center/tilting-disc-check-valve.html,https://pishtaj.ir/knowledge-center/tilting-disc-check-valve.html,knowledge-center,راهنمای شیر Tilting Disc Check Valve | پیشرو تجهیز فرتاک,1801,176,0.122,2
knowledge-center/dual-plate-check-valve.html,https://pishtaj.ir/knowledge-center/dual-plate-check-valve.html,knowledge-center,راهنمای شیرهای Dual Plate Check Valve | پیشرو تجهیز فرتاک,1805,180,0.124,3
knowledge-center/globe-angle-valve.html,https://pishtaj.ir/knowledge-center/globe-angle-valve.html,knowledge-center,مقایسه شیر Globe و Angle Valve | پیشرو تجهیز فرتاک,1807,180,0.124,4
knowledge-center/api-5l-x65.html,https://pishtaj.ir/knowledge-center/api-5l-x65.html,knowledge-center,لوله API 5L X65 | پیشرو تجهیز فرتاک,1796,182,0.125,4
knowledge-center/magmeter.html,https://pishtaj.ir/knowledge-center/magmeter.html,knowledge-center,فلومتر مغناطیسی (Magmeter) | پیشرو تجهیز فرتاک,1819,184,0.127,3
knowledge-center/a106-api-5l.html,https://pishtaj.ir/knowledge-center/a106-api-5l.html,knowledge-center,مقایسه لوله A106 و API 5L | پیشرو تجهیز فرتاک,1805,186,0.128,11
knowledge-center/mcc-panel-guide.html,https://pishtaj.ir/knowledge-center/mcc-panel-guide.html,knowledge-center,راهنمای تابلو برق MCC | پیشرو تجهیز فرتاک,1663,186,0.14,1
